est_number,company,street,city,st,zip,phone,grant_date,activities,dbas
M45035+P45035,Stay Fresh Foods LLC,65 Chamberlain Highway,Meriden,CT,6451,(855) 477-8655,2016-04-05,"Meat Processing, Poultry Processing",
M45035A+P45035A+V45035A,"Stay Fresh Foods, Inc.",945 Sherman Ave,Pennsauken,NJ,8110,(203) 464-3361,2015-03-17,"Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing",
M21159+P21159+V21159,Steak Master Inc.,Steak Master Inc. 74276 Rd. 426,Elwood,NE,68937,(308) 785-2002,2001-06-28,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Steak Master Inc.
M8124+P8124,Steamboat Seafood Co.,1030 Yampa Avenue,Steamboat Springs,CO,80477,(970) 879-1513,1999-12-01,"Meat Processing, Meat Slaughter",GuiDo's Pasta Factory; OK Meat Market; Olivers Meat & Specialty Foods
P2191,Stearns Poultry Farm,900 Route 244,Alfred Station,NY,14803,(607) 587-9215,1991-03-27,Poultry Processing,Stearns Poultry Farm
M6467+P6467+V6467,Steele's Meat Co. LLC,1317 West Baseline,Lafayette,CO,80026,(303) 665-5490,2003-02-25,"Meat Processing, Voluntary Processing - Meat",Boulder Valley Beef
M9423+P9423,Steely Meats,54 Mt. Pleasant Rd P.O.ox 36,Fayetteville,PA,17222,(717) 352-3272,2000-12-27,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M19140A+P19140A,"Stefano Foods, Inc.",4825 Hovis Road,Charlotte,NC,28208,(704) 399-3935,2016-12-19,"Meat Processing, Poultry Processing","Agar Foods; Ark Valley; Armour Eckrich Meats, LLC; Armour Food Company; Carando; Cook's Ham, Inc.; Country Lean; Curly's Foods; Decker Food Company; Eastbay Packing Co.; Eckrich ; Farmland; Farmland Foods, Inc.; Farmstead; Golden Crisp Premium Foods; Gwaltney; Hunter Krey Packing Co.; Hunter Packing Co.; John Morrell & Co.; Kneip; Krakus Foods International; Kretschmar Brands, Inc.; Krey Packing Co.; Lakeview; Lundy's; Maple River Brand; Mohawk Packing; Mohawk Provision, Inc.; Moseys; Moyer Packing Co.; Northside Foods; OhSe; Partridge Meats, Inc.; Patrick Cudahy, LLC; Peyton Packing Co., Inc.; Premium Foods; Premium Pet Health; Premium Standard Farms; Pruden Packing Co.; Quick-To-Fix; Racorn, Inc.; Rath Blackhawk, Inc.; Rodeo Meats, Inc.; Roegelein; Selective Petfood Services, Inc.; Smithfield; Smithfield; Smithfield Farmland Corp.; Smithfield Farmland Sales Corp.; Smithfield Foods, Inc.; Smithfield Fresh Meats Corp.; Smithfield Fresh Meats Sales Corp.; Smithfield Packaged Meat Sales Corp.; Smithfield Packaged Meats Corp.; Smithfield Packing Co.; Spring Hill Brand; Stefano Foods, Inc.; Stefano's; Sweet Applewood Farms, Inc.; The Smithfield Packing Company, Inc.; Tiffany Springs Packing Co.; Tobin's First Prize Meat Co., Inc.; Valleydale, Inc.; Village Butcher; Windsor"
M19140+P19140,"Stefano Foods, Inc.",5230 Terminal Street,Charlotte,NC,28208,(704) 399-3935,2016-12-19,"Meat Processing, Poultry Processing","Agar Foods; Ark Valley; Armour Eckrich Meats LLC; Armour Food Company; Carando; Cook's Ham, Inc.; Country Lean; Curly's Food; Decker Food Company; Eastbay Packing Co.; Eckrich; Farmland; Farmland Foods, Inc.; Farmstead; Golden Crisp Premium Foods; Gwaltney; Hunter Krey Packing Co.; Hunter Packing Co.; John Morrell & Co.; Kneip; Krakus Foods International; Kretschmar Brands, Inc.; Krey Packing Co.; Lakeview; Lundy's; Maple River Brand; Mohawk Packing; Mohawk Provision, Inc.; Mosey's; Moyer Packing Co.; Northside Foods; OhSe; Patrick Cudahy, LLC; Patrick Cudahy, LLC; Patridge Meats, Inc.; Peyton Packing Co., Inc.; Premium Farms; Premium Pet Health; Premium Standard Farms; Pruden Packing Co.; Quick-To-Fix; Racorn, Inc.; Rath Blackhawk, Inc.; Rodeo Meats, Inc.; Roegelein; Selective Petfood Services, Inc.; Smithfield; Smithfield Farmland Corp.; Smithfield Farmland Sales Corp; Smithfield Foods, Inc.; Smithfield Fresh Meats Corp.; Smithfield Fresh Meats Sales Corp.; Smithfield Packaged Meat Sales Corp.; Smithfield Packaged Meats Corp; Spring Hill Brand; Stefano Foods; Stefano Foods, Inc.; Stefano's; Sweet Applewood Farms, Inc.; The Smithfield Packing Company, Inc.; Tiffany Springs Packing Co.; Tobin's First Prize Meat Co., Inc.; Valleydale, Inc.; Village Butcher; Windsor"
M6814,"Stehouwer's Frozen Foods, Inc.",2055 Bristol Avenue NW,Grand Rapids,MI,49504,(616) 453-2471,2010-06-22,Meat Processing,
M21141+P21141,Steidinger Meat Processing,226 E. Locust,Fairbury,IL,61739,(815) 692-6036,2012-11-26,"Meat Processing, Poultry Processing",Steidinger Foods; Steidinger Sausage
M1937,Steinbach Provision Company,741 West 47th Street,Chicago,IL,60609,(773) 538-1511,2009-09-09,Meat Processing,
M9381,Stephen G. Manieri,10 Heydts School House Road,Bechtelsville,PA,19505,(610) 367-2789,2011-03-04,"Meat Processing, Meat Slaughter",
M18239+P18239,Sterigenics-Mulberry,502 Prairie Mine Road,Mulberry,FL,33860,(863) 425-0039,2014-11-14,"Meat Processing, Poultry Processing",
M1206+P1206,Sterling Caterers Inc.,5850 S. Pine Island Road,Davie,FL,33328,(954) 680-4787,2012-05-21,"Meat Processing, Poultry Processing",
M44781+P44781,Sterling Foods,33300 Western Avenue,Union City,CA,94587,(510) 487-2600,2014-07-23,Meat Processing,
M451B+P451B,"Sterling Foods, Inc.",13100 N.W. 38 Avenue,Opa Locka,FL,33054,(305) 953-8899,2009-09-02,"Meat Processing, Poultry Processing",
M550+P18178,Sterling Pacific Meat Co.,6114 Scott Way,Commerce,CA,90040,(323) 838-9400,2006-06-01,"Meat Processing, Poultry Processing",
M4962+P4962+V4962,Stern Produce,202 North 59th Avenue,Phoenix,AZ,85043,(602) 278-8786,2011-10-24,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Chef's Choice; Tri-City Meats
M33975,Steuben Foods Inc.,1150 Maple Road,Elma,NY,14059,(716) 655-4000,2012-08-10,Meat Processing,
M15783+P15783,Steve's Backroom LLC,32150 Howard Avenue,Madison Heights,MI,48071,(313) 527-7240,2015-11-12,"Meat Processing, Poultry Processing",
M20670+P20670+V20670,Steve's Meat Market,32685 Lexington,De Soto,KS,66018,(913) 583-1390,1999-02-08,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",
M18524+P18524,"Steve's Meat Market, Inc.",210 5th Avenue,Ellendale,MN,56026,(507) 684-2331,1998-08-21,"Meat Processing, Poultry Processing",
M17783+P17783,Steve's Meat Shop,1947 Zachary Avenue,Montpelier,IA,52759,(563) 381-4956,1994-05-10,"Meat Processing, Poultry Processing",
M17810+P17810+V17810,Stevens Brothers LLC,392 Goshen Road,Panama,NY,14767,(716) 782-3157,2011-07-20,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Stevens Bros.; Stevens Brothers; Stevens Brothers Meat Processing; Stevens Brothers Processing Inc.
M19903+P19903,"Stevens Sausage Co., Inc.",3411 Stevens Sausage Road,Smithfield,NC,27577,(919) 934-3159,2006-12-14,"Meat Processing, Poultry Processing",
M6161+V6161,Steving Meat Company,443 4th Street P.O. Box 148,Kersey,CO,80644,(970) 356-2333,1997-02-04,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M2378+P2378+V2378,"Stevison Ham Company, Inc",125 Stevison Ham Raod,Portland,TN,37148,(615) 325-4161,2004-12-09,"Certification - Export, Meat Processing, Poultry Processing",
G31555,Stiebrs Farms,10909 Bald Hills Road P.O. Box 598,Yelm,WA,98597,(360) 458-3333,2010-10-26,Egg Product,
M15845+P15845,"Stiglmeier Sausage Co., Inc.",619 Chaddick Drive,Wheeling,IL,60090,(847) 537-9988,1988-10-19,"Meat Processing, Poultry Processing",
M6271+P6271+V6271,Stillwater Packing Co.,42 Hersrud Road,Columbus,MT,59019,(406) 322-5666,1994-03-24,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat",
M45779,Stino Da Napoli,19070 Old Detroit Road,Rocky River,OH,44116,(440) 331-3059,2016-03-31,Meat Processing,
M33944+P33945,"Stir Foods, LLC",1581 N. Main St.,Orange,CA,92867,(714) 637-6050,2006-08-31,Meat Processing,
M31697+P31697,Stock Options,1527 SE 3RD,Portland,OR,97214,(503) 380-5691,2009-01-07,"Meat Processing, Poultry Processing",
M6279+P6279,Stock Yards Meat Packing Company,1201 Park Center Drive,Vista,CA,92081,(760) 599-6200,2016-05-18,"Meat Processing, Poultry Processing",
M7915+P7915,Stock Yards Meat Packing Company,200 Hwy 69 North,Paris,TN,38242,(731) 644-7202,2006-08-10,Meat Processing,Stock Yards Meat Packing Co
M18235+P18235+V18235,"StockPot, Inc. (Subsidiary of Campbell Food Svc. Co.)",1200 Merrill Creek Parkway,Everett,WA,98203,(425) 407-6400,2010-11-22,"Food Inspection, Meat Processing, Poultry Processing",
M9792+P9792,"Stoltzfus Meats Inc,",3718 E. Newport Road,Gordonville,PA,17529,(717) 768-7166,2007-03-24,"Meat Processing, Poultry Processing",
M6214+P6214,Stone Meat Inc,1485 Stone Field Way,Pleasant View,UT,84404,(801) 782-9825,2008-01-16,"Meat Processing, Poultry Processing",
M33989A+P33989A,Stone Ridge Wholesale Division LLC,271 North Industrial Drive,Coloma,WI,54930,(715) 228-5444,2011-07-21,"Meat Processing, Poultry Processing",
M33989+P33989,Stone Ridge Wholesale Division LLC,975 East Main Street,Wautoma,WI,54982,(920) 787-5444,2012-03-22,"Meat Processing, Poultry Processing",
P17734,Stonewood Farm Inc.,105 Griswold Lane,Orwell,VT,5760,(802) 948-2277,2014-10-16,"Poultry Processing, Poultry Slaughter",
M9646+P9646+V9646,Stoney Point Inc.,1318 Frederick Pike,Littlestown,PA,17340,(717) 359-7591,2008-05-29,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Charles R. Nells Quality Meat
M18443+P18443,Stoney Point Incorporation,84 Ulricktown Road,Littlestown,PA,17340,(717) 359-7591,2014-05-28,"Meat Processing, Poultry Processing",
M34614+P34614+V34614,Stonie's Sausage Shop,1507 Edgemont Blvd.,Perryville,MO,63775,(573) 547-2540,2008-06-05,"Certification - Export, Food Inspection, Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M31988,"Strassburger Meats, LLC",40 Broad Street,Carlstadt,NJ,7072,(201) 842-8890,2016-09-29,Meat Processing,"Suzy Sirloin, Inc."
M7685+P7685+V7685,Stratton's Butcher Block,37 Meathouse Rd.,Roundup,MT,59072,(406) 323-1810,1996-04-17,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat","Stratton's Butcher Block, Inc"
M2444,Strauss Brands Inc.,9775 South 60th,Franklin,WI,53132,(414) 421-5250,2015-10-09,"Meat Processing, Meat Slaughter",
M31592+P31592,"Streb Meats, Inc.",220 South Mill St.,Dalton,OH,44618,(330) 828-8835,2003-09-04,"Meat Processing, Poultry Processing",
M17515+P17515,Strings Restaurant Group,"11437 Sunrise Gold Circle, Suite C",Rancho Cordova,CA,95742,(916) 638-8956,2005-04-28,"Meat Processing, Poultry Processing",
M8404+P8404,Stripling's General Store Inc.,1401 West Boulevard,Moultrie,GA,31768,(229) 985-4226,2005-06-03,"Meat Processing, Meat Slaughter, Poultry Processing",
M44062+P44062,Stuffed Foods LLC,14 Jewel Drive Suite 3 & 4,Wilmington,MA,1887,(978) 810-1698,2010-09-30,"Meat Processing, Poultry Processing",
M10835+P10835+V10835,SUDLERSVILLE FROZEN MEAT LOCKER,204 E MAIN STREET,SUDLERSVILLE,MD,21668,(410) 438-3106,2011-12-28,"Identification - Meat, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Slaughter - Meat",
M21935+V21935,Suffolk Cold Storage,2000 Northgate Commerce Pkwy,Suffolk,VA,23435,(757) 465-3600,2016-03-03,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Off-Premise Freezing - Meat, Off-Premise Freezing - Poultry",
M1841D+P19349D,Sugar Creek,4235 Thunderbird Lane,Fairfield,OH,45014,(513) 551-5280,,"Meat Processing, Poultry Processing",
M1841E+P19349E+G1841E,Sugar Creek,1200 Enterprise Road,Cambridge City,IN,47327,(765) 312-0210,2016-01-26,"Egg Product, Meat Processing, Poultry Processing",
M7202+P19756+V7202,Sugar Creek Packing co.,1600 W. McKay St.,Frontenac,KS,66763,(316) 232-2700,1996-06-26,"Certification - Export, Food Inspection, Identification - Meat, Meat Processing",
M1841B+P19349B,Sugar Creek Packing Co.,4249 Beerman Avenue,Dayton,OH,45417,(937) 268-6601,2010-09-03,"Meat Processing, Poultry Processing",
M1841C+P19349C+V1841C,Sugar Creek Packing Co.,4585 Muhlhauser Road,Hamilton,OH,45011,(513) 874-4422,2010-08-13,"Certification - Export, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing, Voluntary Processing - Poultry",
M1841+P19349+V1841,Sugar Creek Packing Company,2101 Kenskill Ave.,Washington Court House,OH,43160,(740) 335-3586,1995-07-27,"Certification - Export, Meat Processing, Poultry Processing",
M34391,Sugar Valley Sausage Company,2943 Red Barn Drive,Gering,NE,69341,(308) 632-3222,2011-09-21,Meat Processing,Markys Meat Market
M44771,Sugargrove Country Hams,3200 Statesville Hwy.,North Wilkesboro,NC,28659,(828) 632-2034,2012-05-21,Meat Processing,
M18901+P18901,Sugartown Smoked Specialties,306-1C Westtown Road,West Chester,PA,19382,(215) 429-4080,1993-11-01,"Meat Processing, Poultry Processing",
M18581+P18581,"Suitor Meat Company, Inc.",95 CR 516,Rienzi,MS,38865,(662) 462-7413,2002-08-27,"Meat Processing, Poultry Processing",
M44187+P44187+V44187,Sukhi's Gourmet Indian Foods,3374 Enterprises Avenue,Hayward,CA,94545,(510) 336-8383,2011-05-27,"Certification - Export, Food Inspection, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing",Sukhis Gourmet Indian Foods
M40108,Sullivan Provisions,3801 S. Sangamon,Chicago,IL,60609,(773) 924-1716,2011-09-13,Meat Processing,
M34795+P34795,Summer Garden Food Manufacturing,500 McClurg Rd,Boardman,OH,44512,(330) 965-8455,2009-06-03,"Meat Processing, Poultry Processing",
I21,Summit Cold Storage,5450 S. Center Avenue,Summit,IL,60501,(708) 924-1137,2014-05-14,Imported Product,
M20744+P20744+V20744,"Summit Cold Storage, Inc.",5450 S. Center Ave.,Summit,IL,60501,(708) 924-1137,2011-04-25,"Certification - Cysticercus, Certification - Export, Certification - Trichinae, Identification - Meat, Identification - Poultry, Meat Processing, Poultry Processing",
M45017+P45017,Summit Custom Spray Drying,45 River Road Building 201,Flemington,NJ,8822,(866) 942-9955,2012-12-17,"Meat Processing, Poultry Processing",
M33905+P33905,Sun Boricua,Carretera 486 Km. 0 Hc. 1,Camuy,PR,627,(787) 644-9018,2009-04-23,"Meat Processing, Poultry Processing",
V48103,"Sun Coast Distribution, LLC",7577 Airaway Road Suite 106,San Diego,CA,92154,(619) 392-5796,,"Certification - Export, Identification - Meat, Identification - Poultry",
M44926+P44926,Sun Foods,14401 Dexter Southwest Building,Detroit,MI,48238,(248) 930-7512,2014-03-26,"Meat Processing, Poultry Processing",
M4657A+P4657A,Sun Ming Jan Inc.,145 Noll Street,Brooklyn,NY,11206,(718) 418-8221,2016-09-16,"Meat Processing, Poultry Processing",
M19030,"Suncrest Farms Country Hams, Inc.",1148 Foster Street,Wilkesboro,NC,28697,(336) 667-4441,2009-10-08,Meat Processing,
P21666+V21666,Sunleaf Farms,861 Sheffield Road,Mesa,WA,99343,(509) 265-4483,2002-10-15,"Poultry Processing, Poultry Slaughter, Voluntary Slaughter - Poultry",
M27236+V27236,"Sunnyside Meats, Inc.",253 County Road 216,Durango,CO,81303,(970) 385-0230,2003-07-28,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Processing - Rabbit, Voluntary Slaughter - Meat, Voluntary Slaughter - Rabbit",
M17823+P17823,Sunnyvalley Smoked Meats,2475 W. Yosemite Ave,Manteca,CA,95337,(209) 825-0288,2000-07-29,"Meat Processing, Poultry Processing",
M45219+P45219,"SunOpta Aseptic, Inc.",3915 Minnesota Street,Alexandria,MN,56308,(320) 763-9822,2014-02-19,"Meat Processing, Poultry Processing",
M38446+P38446,SunRich Foods International Corp,1240 North Barsten Way,Anaheim,CA,92806,(714) 632-7577,2011-01-21,"Meat Processing, Poultry Processing",
M45628+P45628,Sunrise Deli LLC,2135 1st Ave.,Hibbing,MN,55746,(218) 263-5713,2016-01-29,"Meat Processing, Poultry Processing",Sunrise Creative Gourmet
G20813,Sunrise Farms Inc.,2060 White Ave.,Harris,IA,51345,(712) 735-6010,2015-04-27,Egg Product,
M21636+P21636,"Sunrise Foods Acquisition, LLC",10310 Zodiac,Dallas,TX,75229,(214) 634-2501,2015-09-14,"Meat Processing, Poultry Processing",Sunrise Foods; Sunrise Mexican Foods
M15738+P15738,"Sunrise Foods, Inc.",3120 Valleyview Drive,Columbus,OH,43204,(614) 276-2880,1997-07-31,"Meat Processing, Poultry Processing",
M9185+P9185,"Sunset Farm Foods, Inc.",1201 Madison Hwy,Valdosta,GA,31601,(229) 242-2952,2010-10-15,"Meat Processing, Poultry Processing",
M17820+P17820+V17820,Sunset Foods,Sunset Foods 1640 Fuller Road,West Des Moines,IA,50265,(515) 222-4477,2007-05-23,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M34026+P34026,"Sunsof, Inc.",1177 NW 81st St. Unit E,Miami,FL,33150,(305) 458-6156,2006-04-03,"Meat Processing, Poultry Processing",Tomasa Frozen Empanadas
M45868,Suntree Snack Foods LLC,4502 W. Monterosa Street,Phoenix,AZ,85031,(480) 719-6900,,Meat Processing,
M19211+V19211,Super Valu International,"1801 East D Street""801 East ",Tacoma,WA,98421,(253) 572-9675,1995-04-05,,
M2800+P2800,Superior Farms,7390 Rio Dixon Rd,Dixon,CA,95620,(707) 678-3091,2016-10-27,"Meat Processing, Meat Slaughter",Superior Farms; Transhumance Holding Co
M1974,Superior Farms - Grove Division,2222 West Grove Street,Blue Island,IL,60406,(707) 693-2301,2016-06-07,Meat Processing,"Transhumance Holding Co., Inc."
M252+P252,Superior Farms-Boston Division,115 Newmarket Square,Boston,MA,2118,(617) 442-3644,2016-04-29,"Meat Processing, Poultry Processing",Superior Packing Co.
M2910+P2910,Superior Foods Company,4243 Broadmoor Avenue SE,Kentwood,MI,49512,(616) 698-7700,2008-06-13,"Meat Processing, Poultry Processing",
M10771+P10771,"Superior Meats, Inc.",1900 W. Main St.,Louisville,KY,40203,(502) 583-2235,1999-04-29,"Meat Processing, Poultry Processing",
M46808,"Superior Sausage, LLC",8000 Fernham Lane,District Heights,MD,20747,(571) 249-6167,2016-01-14,Meat Processing,Stachowski Brand Charcuterie
V971,Supervalu Inc.,1400 West Gadsden Street,Quincy,FL,32351,(850) 875-2600,2011-09-16,"Certification - Export, Identification - Meat, Identification - Poultry",
M34595+P34595,Supreme Cuisine,#1 Mitchell Rd.,Montgomery City,MO,63361,(573) 564-2323,2008-02-19,"Meat Processing, Poultry Processing",
M45872,Supreme Lobster and Seafood Co.,220 E. North Avenue,Villa Park,IL,60181,(630) 832-6700,2016-06-24,Meat Processing,
M20676+P20676,Supreme Meat Purveyors,222 East Cevallos,San Antonio,TX,78204,(210) 224-9672,2003-11-10,"Meat Processing, Poultry Processing",Tejas Quality Foods; Viva Mex Quality Foods
M6813+P6813,Supreme Tamale Company,1495 Brummel Ave.,Elk Grove Village,IL,60007,(773) 622-3777,2013-01-23,"Meat Processing, Poultry Processing","Supreme Frozen Products, Inc"
M15775+P15775,Sure Fine Foods Acquisition,4800 O'Hara Dr.,Evansville,IN,47711,(812) 428-0888,2006-10-13,"Meat Processing, Poultry Processing",Sure Fine Foods
M2957+P2957,Surlean Foods,1545 South San Marcos Street,San Antonio,TX,78207,(210) 227-4370,2005-10-17,"Meat Processing, Poultry Processing",
M44134+P44134,Surlean Meat Company,3551 Dan Morton Drive,Dallas,TX,75236,(214) 545-3475,2013-03-05,"Meat Processing, Poultry Processing",Surlean Foods
M1382+P1382,Suzanna's Kitchen Inc,4101 Blue Ridge Industrial Parkway,Norcross,GA,30071,(770) 476-9900,2005-12-15,"Meat Processing, Poultry Processing",Advanced Brands; Carolina Turkey; Cooper Farms; Gemini Foods; Perdue Farms; Tyson Foods
M1381+P1381,Suzanna's Kitchen Inc.,4025 Buford Hwy,Peachtree Corners,GA,30096,(770) 476-9900,2016-03-11,"Meat Processing, Poultry Processing",Advanced Brands; Carolina Turkey; Destination Products; Food Tech; Gemini Foods; Perdue Farms; Tyson Foods
M8314+V8314,"Swaggerty Sausage Company, Inc.",2827 Swaggerty Road Suite 1,Kodak,TN,37764,(615) 933-2625,1986-09-24,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Smoky Farms; Swaggerty Sausage
M51208,Swan Market,433 Parsells Avenue,Rochester,NY,14609,(585) 704-2359,2016-11-09,Meat Processing,
M6820+P6820,"Swan Packing, Incorporated",700 Corning,Des Moines,IA,50313,(515) 262-1111,2012-02-23,"Meat Processing, Poultry Processing",
M5697+P5697+V5697,Swanson Meat Co.,2700 26th Ave. South,Minneapolis,MN,55406,(612) 721-4411,1997-05-01,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Slaughter - Meat","Christofersen Meats Co.; Christofersen Meats, Inc.; Swanson Meats, Inc.; Swanson Natural Foods LLC"
M4544,"Sweet N Spicy Foods, Inc.",2617 Windsor Ave.,Baltimore,MD,21216,(410) 383-6900,1999-04-28,Meat Processing,
M4943+P4943,Sweety Novelty DBA Shine Food,684 S. Mateo Street,Los Angeles,CA,90021,(213) 488-9181,2005-11-03,"Meat Processing, Poultry Processing",Shine Food Inc.
M3D,Swift Beef Company,U.S. Highway 287,Cactus,TX,79013,(806) 966-5103,2007-08-20,"Meat Processing, Meat Slaughter",Armour Food Company; Swift & Company; Swift Foods Company; Swift Pork Company; Swift Premium
M532,Swift Beef Company,3435 Gomez Avenue,Omaha,NE,68107,(402) 731-3370,2016-11-18,"Meat Processing, Meat Slaughter",JBS Packerland; JBS/JBS USA; Swift & Company ; Swift Premium
M628+P628,Swift Beef Company,410 North 200 West,Hyrum,UT,84319,(435) 245-6456,2007-09-05,"Meat Processing, Meat Slaughter",Armour Food Company; Swift & Company; Swift Foods Company; Swift Pork Company; Swift Premuim
M969G,Swift Beef Company,555 S Stuhr Rd.,Grand Island,NE,68801,(308) 395-9410,2016-09-23,"Meat Processing, Meat Slaughter","JBS Grand Island, Inc"
M969+V969,Swift Beef Company,800 N. 8th Avenue,Greeley,CO,80631,(970) 351-0800,1981-05-12,"Certification - Export, Meat Processing, Meat Slaughter",JBS; JBS USA; Swift & Company; Swift Premium
M3CA+P3CA,Swift Pork Company,13215 Cambridge St,Santa Fe Springs,CA,90670,(562) 921-5757,2007-08-28,"Meat Processing, Poultry Processing",Armour Food Company; Swift & Company; Swift Foods Company; Swift Pork Company; Swift Premium
M3S,Swift Pork Company,402 North Tenth Avenue,Marshalltown,IA,50158,(641) 752-7131,2009-02-04,"Meat Processing, Meat Slaughter",Armour Food Company; Swift & Company; Swift Foods Co.; Swift Premium
M3W,Swift Pork Company,Highway 60 Northeast,Worthington,MN,56187,(507) 372-2121,2007-12-02,"Meat Processing, Meat Slaughter",Armour Food Company; Swift & Company; Swift Foods Company; Swift Pork Company; Swift Premium
M85B,Swift Pork Company,8295 Arenzville Road,Beardstown,IL,62618,(217) 323-3774,2015-10-27,"Meat Processing, Meat Slaughter","JBS USA, LLC; Swift & Company; Swift Foods Company; Swift Premium"
M85O+P17775+V85O,Swift Pork Company,600 South Iowa Avenue,Ottumwa,IA,52501,(641) 682-8532,2009-08-04,"Identification - Meat, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter","International Casings; JBS USA, Inc.; Swift & Company; Swift Foods Company; Swift Premium"
M995,Swift Pork Company,1200 Story Avenue,Louisville,KY,40206,(502) 582-0011,2007-08-24,"Meat Processing, Meat Slaughter",Armour Food Company; JBS Swift & Co; Swift & Company; Swift Foods Company; Swift Foods Company; Swift Pork Company; Swift Premium
M2969+P2969+V2969,Swiss Processing Plant Inc.,2056 Hwy 19 S.,Hermann,MO,65041,(573) 468-2086,1999-12-15,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Swiss Meat and Sausage Company
M40157,Sylvester Quality Meats,1793 California Road,Westfield,PA,16950,(814) 367-5803,2015-07-06,"Meat Processing, Meat Slaughter",
M4520+P4520,Symrise,170 Industrial Parkway,Branchburg,NJ,8876,(908) 429-6906,2013-06-27,"Meat Processing, Poultry Processing",
M51182+P51182,Symrise Inc.,110 Liberty Court,Elyria,OH,44035,(440) 324-6060,2015-03-23,"Meat Processing, Poultry Processing",
M2933+P2933+V2933,Syracuse's Sausage Co.,903 N. Highway 156,Ponder,TX,76259,(940) 479-2700,2009-05-29,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
V44800,Sysco Atlanta LLC,2225 Riverdale Road,College Park,GA,30349,(404) 765-9900,2012-01-30,"Certification - Export, Identification - Meat, Identification - Poultry",
V48086,Sysco Central Texas,1260 Schwab Road,New Braunfels,TX,78132,(830) 730-1000,2013-11-27,"Certification - Export, Identification - Meat, Identification - Poultry",
V17685,"Sysco Eastern Maryland, Inc.",33239 Costen Rd.,Pocomoke City,MD,21851,(410) 677-5555,2011-02-17,"Certification - Export, Identification - Meat",
V19123,Sysco Food of Central Florida Inc.,200 West Story Rd.,Ocoee,FL,34761,(407) 877-1410,2003-03-03,"Certification - Export, Identification - Meat, Identification - Poultry",
M20490+V20490,Sysco Food Services,1501 Lewis Industsrial Dr.,Jacksonville,FL,32054,(904) 786-2600,1998-09-03,"Identification - Meat, Identification - Poultry",
M20756+V20756,SYSCO Food Services,22820 54th Avenue S.,Kent,WA,98032,(206) 622-2261,1999-02-22,Certification - Export,
M2106+P2106,Sysco Food Services of Ohio,2665 Tracy Rd.,Northwood,OH,43619,(419) 666-0702,1999-11-26,"Meat Processing, Poultry Processing",Malcolm Meats
V39981,Sysco Food Services of SE Fla.,"1999 Dr. Martin Luther King, Jr. Blvd.",Riviera Beach,FL,33440,(561) 994-8500,2009-08-03,"Certification - Export, Identification - Meat, Identification - Poultry",
M21702+P21702+V21702,"Sysco Foodservices of Hampton Roads, Inc.",7000 Harbour View Blvd,Suffolk,VA,23435,(757) 673-4000,2001-07-25,"Certification - Export, Identification - Meat, Identification - Poultry",
V19395,"Sysco Houston, Inc.",10710 Greens Crossing Boulevard,Houston,TX,77038,(713) 672-8080,2010-08-26,"Certification - Export, Identification - Meat, Identification - Poultry",
V21654,Sysco International Food Group,2401 Police Center Drive #240,Plant City,FL,33566,(813) 707-6161,2011-07-19,"Certification - Export, Identification - Meat, Identification - Poultry",
V21654A,"Sysco International Food Group, Inc.",3100 Hilton Street,Jacksonville,FL,32209,(813) 707-6161,2014-05-01,"Certification - Export, Identification - Meat, Identification - Poultry",
M4195+P4195,"Sysco Newport Meat Company, Inc.",16691 Hale Avenue,Irvine,CA,92606,(949) 474-4040,1999-08-12,Meat Processing,
